x, y, width, height
287, 0, 225, 160
0, 0, 224, 160
449, 159, 64, 1121
191, 290, 129, 62
0, 160, 64, 1345
64, 642, 32, 62
128, 642, 32, 62
192, 642, 32, 62
288, 642, 32, 62
352, 642, 32, 62
416, 642, 42, 62
160, 834, 193, 254
352, 994, 32, 94
416, 994, 32, 94
64, 1090, 64, 94
160, 1186, 192, 222
354, 1282, 256, 126
0, 1504, 192, 110
191, 1567, 228, 997
286, 1535, 67, 36
411, 1663, 145, 55
543, 1632, 72, 41
605, 1599, 70, 100
666, 1663, 105, 42
766, 1631, 119, 44
765, 1337, 37, 231
861, 1333, 38, 204
861, 1599, 168, 55
998, 1535, 209, 73
1054, 1503, 67, 42
1186, 1502, 128, 263
1308, 1727, 79, 44
1311, 1343, 99, 33
1407, 1471, 98, 34
1376, 1662, 166, 72
1533, 1566, 225, 113
1599, 1472, 34, 98
1598, 1343, 35, 65
1726, 1341, 35, 99
1726, 1504, 33, 103
1757, 1600, 133, 142
1853, 1339, 37, 69
1853, 1472, 164, 64
1887, 1726, 130, 69
2077, 1696, 37, 101
2207, 1695, 162, 109
2302, 1343, 196, 64
2431, 1696, 130, 100
2653, 1697, 68, 101
2623, 1340, 915, 68
2816, 1728, 133, 77
2911, 1663, 98, 72
2976, 1600, 257, 66
3229, 1662, 196, 195
3111, 1823, 124, 34
3097, 1855, 40, 1704
3518, 1342, 163, 162
3519, 1576, 38, 1383
3231, 2015, 193, 65
3231, 2143, 194, 34
3455, 2943, 74, 136
3328, 3007, 65, 74
3198, 2945, 34, 222
3229, 3071, 355, 97
3231, 3455, 98, 116
3135, 3552, 99, 30
3328, 3553, 35, 26
3360, 3455, 320, 107
3678, 3552, 136, 31
3808, 3424, 128, 149
3942, 3553, 236, 30
4160, 3391, 128, 173
4285, 3553, 279, 25
3519, 1568, 228, 77
3743, 1505, 393, 71
4127, 1440, 161, 133
4287, 1407, 66, 65
4350, 1439, 64, 33
4382, 1439, 35, 65
4283, 1568, 101, 223
4381, 1759, 138, 37
4512, 1505, 64, 31
4639, 1472, 33, 32
4767, 1441, 33, 31
4863, 1440, 97, 32
5024, 1473, 32, 31
5088, 1440, 32, 32
5184, 1408, 32, 32
5312, 1505, 32, 32
4513, 1727, 201, 46
4707, 1697, 157, 95
4927, 1697, 34, 96
5056, 1729, 32, 67
5152, 1729, 64, 71
5280, 1729, 32, 65
5407, 1695, 181, 125
5409, 1504, 125, 32
5375, 1152, 65, 128
5407, 1247, 65, 129
5213, 1248, 164, 32
5268, 1216, 44, 40
5119, 1183, 161, 66
5147, 498, 37, 702
5216, 672, 32, 32
5181, 446, 228, 66
5374, 577, 35, 190
5504, 1055, 30, 453
5569, 911, 25, 786
5376, 1055, 158, 33
5344, 1024, 65, 32
5375, 832, 110, 96
5375, 832, 34, 127
5471, 736, 102, 109
5470, 442, 35, 230
5566, 445, 35, 163
5483, 887, 90, 41
5567, 672, 34, 167
5600, 832, 228, 46
5663, 444, 34, 132
5664, 640, 33, 127
5664, 640, 208, 32
5856, 544, 160, 128
5824, 800, 166, 34
5984, 736, 166, 76
6144, 704, 129, 107
6239, 576, 34, 64
6238, 445, 36, 67
5983, 440, 260, 41
6195, 800, 333, 160
6336, 736, 96, 69
6592, 443, 45, 820
6271, 1250, 344, 126
6300, 1183, 106, 25
6271, 1025, 33, 235
6399, 1024, 35, 228
6078, 908, 130, 1492
6206, 1472, 199, 32
6400, 1441, 128, 63
6594, 1375, 33, 752
6304, 1570, 224, 62
6272, 1601, 37, 31
6526, 1602, 76, 30
6207, 1730, 321, 126
6272, 1698, 160, 39
6512, 2112, 83, 19
6421, 2049, 107, 68
6321, 2018, 111, 35
6272, 1954, 64, 158
6272, 2177, 70, 127
6337, 2015, 35, 74
6333, 2254, 252, 50
6528, 2301, 671, 132
6496, 2559, 705, 80
7171, 2240, 490, 64
7198, 2624, 466, 32
7650, 2300, 23, 332
6202, 2625, 319, 38
6080, 2495, 127, 619
6200, 2624, 297, 67
5728, 2495, 359, 65
5792, 2466, 225, 31
5888, 2432, 129, 43
5696, 2248, 395, 56
5661, 2282, 33, 345
4642, 2627, 1404, 124
6018, 2627, 28, 316
4642, 3072, 1439, 66
5568, 2880, 320, 199
5503, 2976, 68, 105
5472, 2880, 64, 133
5376, 2879, 64, 76
5247, 2880, 97, 85
5120, 2944, 365, 93
4992, 3007, 134, 69
4546, 2945, 124, 610
4192, 2944, 478, 63
4256, 2911, 225, 36
4355, 2881, 126, 37
4546, 2732, 125, 114
4155, 2705, 392, 45
4115, 2740, 42, 344
4157, 3074, 353, 93
4482, 3164, 28, 98
4097, 3135, 72, 32
