x, y, width, height
0, 0, 224, 160
192, 290, 128, 62
288, 0, 224, 160
450, 160, 62, 1120
352, 994, 32, 94
160, 834, 352, 1088
0, 160, 64, 1346
64, 642, 32, 62
128, 642, 32, 62
192, 642, 32, 62
288, 642, 32, 62
352, 642, 32, 62
416, 642, 32, 62
0, 1504, 192, 96
416, 994, 34, 94
64, 1090, 64, 94
190, 1570, 226, 94
416, 1664, 128, 32
546, 1634, 64, 64
608, 1602, 64, 64
672, 1666, 102, 32
768, 1344, 32, 224
768, 1632, 98, 66
864, 1600, 134, 40
864, 1344, 32, 190
288, 1536, 62, 34
1056, 1504, 62, 34
990, 1534, 202, 66
1184, 1502, 130, 258
1310, 1344, 100, 32
1408, 1472, 96, 32
1312, 1728, 66, 34
1376, 1664, 166, 112
0, 1794, 3075, 1794
513, 0, 4608, 1344
5060, 0, 1640, 448
6652, 0, 1026, 2242
4607, 3134, 1546, 448
6144, 2687, 1536, 895
